ts,uvind,vwind,gust
1551528000,-4.541826224,-1.739672192,0
1551538800,-1.942475408,-2.500866192,6.6358852
1551549600,-1.771276208,-1.045855392,4.132456992
1551560400,-0.190488416,-1.296190992,2.427588544
1551571200,2.092993408,-1.932710384,0
1551582000,2.265933392,-0.893634016,4.023597568
1551592800,0.323147584,0.279840592,2.999923232
1551603600,-1.731718224,1.792375584,6.376128384
1551614400,-0.3889304,1.794459424,0
1551625200,1.069104416,-2.444697408,5.096733584
1551636000,-4.222738992,-1.257419008,7.839631312
1551646800,-1.094020176,0.094241024,2.63889704
1551657600,2.4499624,-0.787721776,0
1551668400,2.963445584,-2.803779424,6.999771504
1551679200,2.966080576,-2.9977708,7.55378608
1551690000,-4.3863308,-1.699644,9.348624896
1551700800,-2.622946,2.9342508,0
1551711600,-1.7814308,3.94782,7.756804112
1551722400,-0.702574016,3.134185984,5.485757104
1551733200,-0.963030816,0.324654832,1.92360304
1551744000,1.73452,-0.875835984,0
1551754800,1.686721008,-3.207828992,6.00711128
1551765600,1.084179184,-2.148714,5.116689872
1551776400,-4.7120144,-1.439696,9.711987504
1551787200,0.9960192,-0.867024016,0
1551798000,-4.4268592,-6.077375184,12.948191936
1551808800,-1.367066,-6.942299184,12.168810784
1551819600,1.370915584,-5.757844816,10.455645008
1551830400,2.605785984,-5.750126,0
1551841200,3.430154,-7.01817,13.677172176
1551852000,2.640689008,-7.319414832,13.906255568
1551862800,-2.274871616,-6.717414832,12.893658016
1551873600,-2.318939008,8.175798176,0
1551884400,-1.153381408,8.696346592,11.406953056
1551895200,1.065965792,8.701935168,11.368150464
1551906000,1.796170416,8.6063364,11.388782208
1551916800,1.600780416,-5.746311824,0
1551927600,2.021066992,-6.899270976,12.71820536
1551938400,0.797974976,-6.310981792,11.466404416
1551949200,-3.881884,-6.748452192,13.99304928
1551960000,-5.062829024,-6.418524832,0
1551970800,-3.459849584,-7.865032976,15.049835968
1551981600,1.276306608,-7.34035,13.064049824
