ts,ugrd,vgrd,gust
1551506400,-1.3032908,-3.4843368,4.051984
1551517200,-3.3090916,-2.4186916,2.808892
1551528000,-5.4320252,0.7822024,3.534812
1551538800,-5.4129248,1.906208,5.032888
1551549600,-3.008198,0.6141364,3.275528
1551560400,-2.3590036,0.1365672,2.604564
1551571200,-2.5879764,-0.6237144,2.892892
1551582000,-2.61427,-1.1512576,2.982484
1551592800,-3.2229128,0.7636448,3.552844
1551603600,-4.4828352,3.3103936,4.763884
1551614400,-5.4234836,3.517034,6.423424
1551625200,-5.2814888,0.7425944,5.902536
1551636000,-4.5847752,-1.6045312,5.478216
1551646800,-4.141222,-1.9011748,5.178856
1551657600,-3.3792392,-1.5530532,4.210632
1551668400,-2.8886268,-2.438412,4.227624
1551679200,-3.1776548,-1.999836,3.657376
1551690000,-3.6374476,0.5565128,2.986368
1551700800,-4.1729096,2.4395464,4.595276
1551711600,-4.0853072,2.1422412,4.619968
1551722400,-2.7205156,1.3602256,3.452816
1551733200,-2.2705064,1.1459136,2.8197
1551744000,-2.800342308,-0.3803696,3.096536
1551754800,-2.8180332,-2.4166604,4.085468
1551765600,-2.5760844,-3.1845288,4.335076
1551776400,-3.9222684,-1.546974,3.537916
1551787200,-2.2966112,-3.5833344,4.341264
1551798000,-1.3642148,-7.4322472,8.96994
1551808800,0.0335292,-7.1301656,9.399424
1551819600,0.7126456,-5.4889464,7.051388
1551830400,0.7447412,-5.9348796,7.374996
1551841200,0.8754012,-5.936008,7.45512
1551852000,0.3906152,-6.5266968,7.961576
1551862800,-1.6323644,-6.487608,6.572952
1551873600,-1.9571768,-4.2870044,4.514492
1551884400,-2.0106564,-3.7602924,4.663388
1551895200,-0.5845564,-4.3787388,5.38676
1551906000,0.3702152,-4.8982068,6.222576
1551916800,0.2001004,-5.7862108,7.0288
1551927600,0.2432964,-6.2142856,7.410108
1551938400,-0.3904976,-6.2542776,7.442092
1551949200,-2.6192388,-5.8306736,6.619936
1551960000,-3.3972296,-4.6854788,6.401168
1551970800,-2.4378708,-7.3814224,9.007604
1551981600,0.3086104,-6.5843228,8.824396
1551992400,0.4786348,-7.2821896,8.857228
1552003200,0.7958676,-7.6951964,9.388168
1552014000,0.7014828,-8.026402,9.710676
1552024800,0.595408,-8.0199992,9.703724
1552035600,-0.8028264,-7.568096,8.642916
1552046400,-1.5008436,-7.8055408,8.94184
1552057200,-1.2274844,-7.8699592,8.956644
1552068000,0.623438,-5.9975504,7.945444
1552078800,0.6725568,-6.0368004,7.772908
1552089600,0.4652876,-5.6174052,6.930848
1552100400,0.0945488,-5.1225828,6.105552
1552111200,-0.457802,-4.658362,5.685332
1552122000,-1.946484,-4.4898998,5.399608
1552132800,-2.4698396,-3.648316,5.051076
1552143600,-2.0674632,-3.135588,4.482904
1552154400,-0.211322,-3.3739588,3.862316
1552165200,0.2124768,-4.0935116,4.625256
1552176000,0.2235288,-4.6237672,5.286496
1552186800,0.1685084,-4.9432676,6.02836
1552197600,-0.5689428,-5.3715268,6.658452
1552208400,-2.63366,-6.0277692,7.292244
1552219200,-3.7283864,-6.0352956,7.82166
1552230000,-2.4331736,-7.617594,8.940732
1552240800,0.7563376,-5.857662,6.597716
1552251600,1.0740384,-5.5223444,6.71714
1552262400,0.6828212,-6.45157,8.10672
1552273200,0.69906,-7.2102676,8.929868
1552284000,0.123632,-7.2872324,8.941468
1552294800,-1.5363024,-7.1210924,8.112892
1552305600,-2.1905524,-6.8736328,8.110752
1552316400,-1.5620408,-6.3269284,7.47248
1552327200,0.51746,-4.9415308,5.556068
1552338000,0.7102704,-4.5941556,5.334748
1552348800,0.5585792,-4.6879668,5.371852
1552359600,0.5102512,-3.6972904,4.25948
1552370400,-0.0603976,-2.7015836,3.146232
1552381200,-1.9511652,-0.2540976,2.185232
1552392000,-2.4939224,3.8802628,5.459848
1552402800,-2.345144,4.104816,5.678732
1552413600,-1.0537712,1.781918,2.628224
1552424400,-0.3660928,1.2364516,1.8426
1552435200,-0.5043352,1.7798084,2.514356
1552446000,-1.093196,1.7734212,2.680576
1552456800,-1.8210048,2.0940472,3.32624
1552467600,-4.2583232,4.6671916,7.147032
1552478400,-4.6320532,5.5862788,8.153696
1552489200,-2.6624456,5.0715368,7.291612
1552500000,-1.2407992,0.234056,2.285288
1552510800,-0.8160868,-4.8812552,5.858108
1552521600,-0.4594308,-7.228964,7.879856
1552532400,-0.0312232,-7.001562,7.490444
1552543200,0.2989756,-4.60546,5.711716
1552554000,-2.0135864,-3.3827656,4.563096
1552564800,-3.4423368,-0.8942076,3.978504
1552575600,-3.2219768,0.97478,4.092004
1552586400,-2.1899268,-1.2904508,3.388876
1552597200,-2.0431444,-2.8190416,4.3222
1552608000,-1.1789772,-3.1183052,3.991464
1552618800,-1.1129612,-3.0022656,3.829148
1552629600,-2.2515708,-2.8644784,4.087916
1552640400,-3.9800328,-0.3061604,3.692188
1552651200,-5.5158044,2.6238984,5.922456
1552662000,-5.0140008,2.3569332,6.116556
1552672800,-2.6077004,0.062154,3.077148
1552683600,-1.4710452,-0.8866976,2.106624
1552694400,-1.338324,-1.5125348,2.496616
1552705200,-0.7045956,-1.9671292,2.623164
1552716000,-1.629558,-3.1520876,4.104068
1552726800,-4.024892,-3.0467804,4.689576
1552737600,-2.7620716,-1.4218148,3.732524
1552748400,1.957272,-3.561546,5.247848
1552759200,3.0723676,-6.6759568,8.312172
1552770000,1.813342,-7.1118236,7.775668
1552780800,1.1971616,-6.9607284,8.351304
1552791600,0.7102688,-6.4502104,7.817692
1552802400,-0.1258108,-5.872638,6.644428
1552813200,-2.7789768,-5.4448848,6.644104
1552824000,-3.6787568,-6.0142064,7.699696
1552834800,-2.9510724,-7.4133544,9.252788
1552845600,-0.3203884,-6.4077512,8.336376
1552856400,0.8279772,-5.4844112,6.865456
1552867200,0.3056768,-5.5141312,6.848604
