ts,ugrd,vgrd,gust
1551517200,-1.56641832,-4.077429504,6.915890416
1551528000,-5.1509612,-1.506363952,8.040911248
1551538800,-2.970148704,-0.716647552,5.60507688
1551549600,-0.753107488,-2.785507104,4.478533248
1551560400,1.944315376,-2.302831136,4.574494624
1551571200,1.910705024,-2.526591104,4.729103696
1551582000,1.478340624,-2.472076144,4.831519504
1551592800,0.512087104,-1.243715568,3.175926384
1551603600,-1.610695136,2.051107616,4.420667632
1551614400,-2.62657024,5.384075904,6.504979328
1551625200,-1.971873824,3.422106736,7.53208168
1551636000,-2.411402304,-0.630766736,2.764788624
1551646800,0.49927712,-1.02276968,2.209923792
1551657600,1.352767056,-1.222447568,2.44342424
1551668400,1.55536056,-2.056900944,3.949064512
1551679200,0.53084352,-2.463287328,4.086883536
1551690000,-3.306673632,-1.538478048,5.958900864
1551700800,-1.389860384,0.774635808,3.779532176
1551711600,0.232651808,1.21824376,2.590456256
1551722400,0.616737456,0.259087008,1.40663848
1551733200,0.43978072,0.267460112,1.493083056
1551744000,0.742285072,-0.18480536,1.439351568
1551754800,0.685104208,-1.054350208,2.070228288
1551765600,-0.669413744,-0.2178568,3.76254096
1551776400,-1.948132816,0.398351136,4.076292928
1551787200,-0.10743168,0.537265568,4.812711696
1551798000,-2.694096992,-6.123175936,10.838013488
1551808800,-0.998867584,-9.716639424,13.776466368
1551819600,1.099836064,-7.406927744,11.078999296
1551830400,2.058420928,-5.757509136,9.085716496
1551841200,1.621649616,-6.875532688,9.920857328
1551852000,2.043381168,-6.619200608,9.99225744
1551862800,-1.99809344,-5.770110384,9.132665168
1551873600,-3.061610016,-1.837090112,6.372568336
1551884400,-1.656912,-0.72219944,3.483711872
1551895200,1.209523632,-2.161704064,3.294101376
1551906000,1.834119984,-4.56697864,7.904414048
1551916800,0.53539256,-5.48718544,7.94140424
1551927600,0.182026816,-6.757340176,9.455620208
1551938400,-0.543418208,-6.95627368,10.147541008
1551949200,-4.09362056,-6.498572928,10.94477344
1551960000,-4.387595744,-4.889201744,9.383714688
1551970800,-3.587494016,-8.3927112,12.86206368
1551981600,0.975930736,-11.503751664,16.335912688
1551992400,0.803551568,-8.985593872,13.233104304
1552003200,-0.03413304,-8.654016368,12.128949248
1552014000,0.31534856,-9.707603184,13.793889312
1552024800,2.447495568,-7.997181072,12.149851952
1552035600,-0.907507424,-8.472027728,12.14850144
1552046400,-2.353504816,-9.618433952,13.560797552
1552057200,-1.75942368,-9.982474176,14.354840128
1552068000,2.555690144,-8.627720432,13.497584
1552078800,1.973161056,-6.837345184,10.357011872
1552089600,1.45414432,-5.557187184,8.577344624
1552100400,0.115867264,-4.53169112,6.683868768
1552111200,-0.280353728,-5.15315088,7.098467376
1552122000,-4.249880944,-4.845063072,9.448078016
1552132800,-2.97920424,-1.65063952,7.271415584
