ts,wind_speed,wind_direction,wind_gust
1325408400,1.928238,208.159882,1.9
1325419200,2.310887,262.29068,1.4
1325430000,1.714526,253.044693,1.6
1325440800,2.296541,168.445435,2.6
1325451600,3.243763,168.620789,3.5
1325462400,3.862499,172.562195,4.3
1325473200,4.803509,175.701935,5.6
1325484000,4.660386,179.262329,5.4
1325494800,4.542114,201.707718,4.6
1325505600,5.705243,213.272263,5.5
1325516400,6.020307,201.536316,6.6
1325527200,4.944897,182.549957,6
1325538000,4.871478,181.411514,5.7
1325548800,4.973781,175.733826,5.8
1325559600,5.110088,180.336365,5.9
1325570400,4.858076,176.695877,5.5
1325581200,5.083404,191.000473,5.2
1325592000,5.673182,202.270264,5.3
1325602800,5.095194,205.207108,5.3
1325613600,4.546339,183.026031,5.5
1325624400,4.878042,176.709412,5.7
1325635200,4.407289,174.923279,4.9
1325646000,4.235327,175.124008,4.7
1325656800,3.47,180,4
1325667600,3.287704,207.734177,3
1325678400,3.843657,227.636063,3.1
1325689200,3.428308,233.898895,3.3
1325700000,3.947772,195.726105,4.4
1325710800,3.820327,179.250092,4.2
1325721600,3.350955,178.632004,3.7
1325732400,3.110064,179.631546,3.4
1325743200,2.406013,175.948303,2.7
1325754000,1.676306,305.776093,1.8
1325764800,3.758257,317.480194,3
1325775600,4.521427,325.360962,4.4
1325786400,1.641493,267.555939,2.1
1325797200,1.928238,208.159882,1.9
1325808000,1.928238,208.159882,1.9
1325818800,3.97555,183.027939,4.5
1325829600,3.231254,186.575165,3.5
1325840400,2.358495,228.265579,1.7
1325851200,2.580484,268.889771,1.4
1325862000,2.576237,293.081787,2
1325872800,1.632483,273.16037,1.7
1325883600,1.890027,238.412354,2.1
1325894400,0.701783,237.215714,0.7
1325905200,1.928238,208.159882,1.9
1325916000,1.928238,208.159882,1.9
1325926800,1.928238,208.159882,1.9
1325937600,1.928238,208.159882,1.9
1325948400,1.928238,208.159882,1.9
1325959200,1.928238,208.159882,1.9
1325970000,1.928238,208.159882,1.9
1325980800,1.928238,208.159882,1.9
1325991600,1.589025,310.405731,2.1
1326002400,1.167262,316.735718,1.8
1326013200,2.598865,332.25174,2.8
1326024000,3.394231,314.522552,2.6
1326034800,3.543797,316.486389,3.2
1326045600,1.90213,315.212982,2.2
1326056400,0.834865,235.738892,1.3
1326067200,1.661927,182.759109,1.9
1326078000,1.928238,208.159882,1.9
1326088800,1.928238,208.159882,1.9
1326099600,1.928238,208.159882,1.9
1326110400,1.928238,208.159882,1.9
1326121200,1.928238,208.159882,1.9
1326132000,1.928238,208.159882,1.9
1326142800,1.928238,208.159882,1.9
1326153600,1.928238,208.159882,1.9
1326164400,2.183048,194.8638,2.4
1326175200,1.56,202.619858,1.7
1326186000,1.750714,308.50647,1.8
1326196800,3.662595,322.097565,3.3
1326207600,4.08945,331.680267,4.1
1326218400,3.043813,348.24707,3.6
1326229200,1.967867,334.085999,2.5
1326240000,1.273931,355.497803,1.8
1326250800,0.778332,110.297569,0.9
1326261600,1.561089,154.584,1.8
1326272400,1.310611,268.251038,1.2
1326283200,2.25322,256.395477,1.9
1326294000,2.943535,242.042007,2.2
1326304800,3.842981,197.256195,4.2
1326315600,4.272341,188.073212,4.8
1326326400,3.830013,180.149597,4.3
1326337200,3.740494,175.707031,4.1
1326348000,3.32435,177.068741,3.7
1326358800,2.833249,208.917114,2.4
1326369600,3.595177,231.663757,2.9
1326380400,3.61602,233.320236,3.2
1326391200,3.789776,192.496017,4.3
1326402000,3.370133,179.489975,3.8
1326412800,3.720013,179.845978,4.2
1326423600,3.637925,183.782654,4.1
1326434400,2.714719,176.621155,3
1326445200,2.549451,214.936783,2.9
1326456000,3.425332,229.380554,3.7
1326466800,3.777248,226.501801,3.5
1326477600,3.660191,211.822861,3.9
1326488400,4.506318,204.517609,5
