"meteostationID","timestamp","temperature","pressure","humidity","wind_max_ms","wind_min_ms","wind_avg_ms","wind_direction"
"1chipru_a020a62a11eb","1540484922",NULL,NULL,NULL,"0","0","0","200.7421875"
"1chipru_a020a62a11eb","1540484994",NULL,NULL,NULL,"5.8","0","2.4","342.421875"
"1chipru_a020a62a11eb","1540907213",NULL,NULL,NULL,"4.1","2.1","3.1","29.53125"
"1chipru_a020a62a11eb","1540907522",NULL,NULL,NULL,"3.5","2.5","2.9","44.296875"
"1chipru_a020a62a11eb","1540908141",NULL,NULL,NULL,"3.5","1.2","2.2","32.6953125"
"1chipru_a020a62a11eb","1540908450",NULL,NULL,NULL,"3.6","1.3","2.7","24.2578125"
"1chipru_a020a62a11eb","1540908759",NULL,NULL,NULL,"3.5","1.5","2.5","10.8984375"
"1chipru_a020a62a11eb","1540909067",NULL,NULL,NULL,"2.7","0.8","1.6","354.7265625"
"1chipru_a020a62a11eb","1540909376",NULL,NULL,NULL,"2.2","0","1.5","349.1015625"
"1chipru_a020a62a11eb","1540909685",NULL,NULL,NULL,"2.7","0","1.6","1.0546875"
"1chipru_a020a62a11eb","1540909992",NULL,NULL,NULL,"2.2","1.2","1.5","357.1875"
"1chipru_a020a62a11eb","1540910310",NULL,NULL,NULL,"2.7","1.3","2","348.75"
"1chipru_a020a62a11eb","1540910609",NULL,NULL,NULL,"1.3","0","0.3","348.046875"
"1chipru_a020a62a11eb","1540971364",NULL,NULL,NULL,"8.7","5.1","6.7","18.6328125"
"1chipru_a020a62a11eb","1540971673",NULL,NULL,NULL,"9.2","6.2","7.5","28.828125"
"1chipru_a020a62a11eb","1540971981",NULL,NULL,NULL,"8.1","5.3","6.5","10.8984375"
"1chipru_a020a62a11eb","1540972290",NULL,NULL,NULL,"9.1","6","7.2","24.9609375"
"1chipru_a020a62a11eb","1540972598",NULL,NULL,NULL,"8.6","5.2","6.7","351.2109375"
"1chipru_a020a62a11eb","1540972907",NULL,NULL,NULL,"9.6","5.2","7.3","14.0625"
"1chipru_a020a62a11eb","1540973215",NULL,NULL,NULL,"9.5","5.5","7.7","40.78125"
"1chipru_a020a62a11eb","1540973524",NULL,NULL,NULL,"10","5.6","7.8","27.0703125"
"1chipru_a020a62a11eb","1540973832",NULL,NULL,NULL,"9.7","6.3","8","27.0703125"
"1chipru_a020a62a11eb","1540974141",NULL,NULL,NULL,"9.3","6.1","7.9","10.1953125"
"1chipru_a020a62a11eb","1540974449",NULL,NULL,NULL,"9.3","5.3","7","29.53125"
"1chipru_a020a62a11eb","1540975172",NULL,NULL,NULL,"9.3","5.7","7.6","29.53125"
"1chipru_a020a62a11eb","1540975481",NULL,NULL,NULL,"9.5","6.1","7.8","19.3359375"
"1chipru_a020a62a11eb","1540975789",NULL,NULL,NULL,"9.6","5.6","7.9","14.0625"
"1chipru_a020a62a11eb","1540976098",NULL,NULL,NULL,"9","5.8","7.6","33.046875"
"1chipru_a020a62a11eb","1540976424",NULL,NULL,NULL,"9.3","6.5","8","27.421875"
"1chipru_a020a62a11eb","1540976715",NULL,NULL,NULL,"9.1","6","7.5","37.96875"
"1chipru_a020a62a11eb","1540977025",NULL,NULL,NULL,"8.8","6.5","7.8","29.1796875"
"1chipru_a020a62a11eb","1540977028",NULL,NULL,NULL,"8.8","6.5","7.8","29.1796875"
"1chipru_a020a62a11eb","1540977408",NULL,NULL,NULL,"9.3","6.1","7.6","30.9375"
"1chipru_a020a62a11eb","1540977697",NULL,NULL,NULL,"9.8","5.8","7.9","23.5546875"
"1chipru_a020a62a11eb","1540978005",NULL,NULL,NULL,"9.2","6.3","7.9","5.9765625"
"1chipru_a020a62a11eb","1540978317",NULL,NULL,NULL,"9.7","7.1","8.4","16.5234375"
"1chipru_a020a62a11eb","1540978622",NULL,NULL,NULL,"9.7","5.3","7.3","24.2578125"
"1chipru_a020a62a11eb","1540978943",NULL,NULL,NULL,"9.6","5.1","7.5","15.1171875"
"1chipru_a020a62a11eb","1540979252",NULL,NULL,NULL,"9.5","6.1","7.8","31.9921875"
"1chipru_a020a62a11eb","1540979563",NULL,NULL,NULL,"9.3","6.1","7.6","21.796875"
